Name of hosting facility,Address,City,Postal Code,Telephone,Website,E-mail,Hours of operation,Additional information
Chigamik Community Health Centre,"845 King Street, Unit 4",Midland ,L4R 0B7,<onesite-phone>705-797-3095</onesite-phone>,"<a href=""https://www.rvh.on.ca/mhad/SitePages/raam.aspx?PageView=Shared&InitialTabId=Ribbon.WebPartPage&VisibilityContext=WSSWebPartPage"">rvh.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday: 1:00 p.m. to 3:00 p.m.; Wednesday: 4:00 p.m. to 6:00 p.m.; follow-up appointments may be scheduled at other times,"<abbr title=""not available"">N/A</abbr>"
CMHA Cochrane Timiskaming  - Centre de sante communautaire du Temiskaming),20 May Street South,New Liskeard,P0J 1P0,<onesite-phone>705-647-4444</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:ttwarowski@cmhact.ca"">ttwarowski@cmhact.ca</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m. ,Shared approach for Temiskaming Shores
CMHA Cochrane Timiskaming - Mino M'shkiki Indigenous Family Health Team at Timiskaming Hospital,421 Shepherdson Road,New Liskeard,P0J 1P0,<onesite-phone>705-647-4444</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:ttwarowski@cmhact.ca"">ttwarowski@cmhact.ca</a>",Monday to Friday: 8:30 a.m. to 4:30 p.m. ,Shared approach for Temiskaming Shores
Niagara Health System,5546 Portage Road,Niagara Falls,L2E 6X2,"<onesite-phone extension=""53804"">905-378-4647</onesite-phone>","<a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">niagarahealth.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Tuesday: 2:00 p.m. to 5:00 p.m.; Wednesday: 9:00 a.m. to 5:00 p.m.,"By appointment only; <a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">book online</a>."
 Community Counselling Centre of Nipissing,361 McIntyre Street East,North Bay,P1B 1C9,<onesite-phone>705-472-6515</onesite-phone>,"<a href=""https://cccnip.com/"">cccnip.com</a>","<a href=""mailto:amcquarrie@cccnip.com"">amcquarrie@cccnip.com</a>","Typically Monday, Wednesday & Thursday: 3 hour clinics",Navigator available 5 days a week
The Common Roof ,"169 Front Street South, 1<sup>st</sup> floor",Orillia ,L3V 4S8,<onesite-phone>705-797-3095</onesite-phone>,"<a href=""https://www.rvh.on.ca/mhad/SitePages/raam.aspx?PageView=Shared&InitialTabId=Ribbon.WebPartPage&VisibilityContext=WSSWebPartPage"">rvh.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday: 4:00 p.m. to 6:00 p.m.; Thursday: 1:00 p.m. to 3:00 p.m.; follow-up appointments may be scheduled at other times,"<abbr title=""not available"">N/A</abbr>"
Lakeridge Health ,1 Hospital Court,Oshawa,L1G 8A2,"<onesite-phone extension=""37226"">905-576-8711</onesite-phone>","<a href=""https://www.lakeridgehealth.on.ca/en/ourservices/rapid-access-addiction-medicine--raam-.asp"">lakeridgehealth.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday & Thursday: 9:00 a.m. to 11:00 a.m.,Patients can walk in without an appointment or call to book an appointment.
Lakeridge Health ,300 Centre Street South,Oshawa,L1G 2K5,"<onesite-phone extension=""37226"">905-576-8711</onesite-phone>","<a href=""https://www.lakeridgehealth.on.ca/en/ourservices/rapid-access-addiction-medicine--raam-.asp"">lakeridgehealth.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Tuesday & Friday: 9:00 a.m. to 11:00 a.m.,Patients can walk in without an appointment or call to book an appointment.
Royal Ottawa Mental Health Centre (The Royal),"1145 Carling Avenue, 2<sup>nd</sup> Floor, Room 2141",Ottawa,K1Z 7K4,"<onesite-phone extension=""6224"">613-722-6521</onesite-phone>","<a href=""http://www.theroyal.ca/mental-health-centre/mental-health-programs/areas-of-care/substance-use-and-concurrent-disorders/"">theroyal.ca</a>","<a href=""mailto:opioidservice@theroyal.ca"">opioidservice@theroyal.ca</a>",Regular clinic hours Monday to Friday: 8:00 a.m. to 4:00 p.m.; Walk-in hours for new self-referred clients Monday to Thursday: 10:00 a.m. to 12:00 p.m. & 1:00 p.m. to 2:00 p.m.; Walk-in hours for referrals from The Ottawa Hospital Monday to Friday: 8:00 a.m. to 11:00 a.m. ,"Referral sources: client, primary care providers or other physicians, established pathways with local hospitals and community partners."
Sandy Hill Community Health Centre,"221 Nelson Street, lower lobby",Ottawa,K1N 1C7,"<onesite-phone extension=""2106"">613-569-3488</onesite-phone>","<a href=""https://www.shchc.ca/programs/oasis/raam"">shchc.ca</a>","<a href=""mailto:info@sandyhillchc.on.ca"">info@sandyhillchc.on.ca</a>",Monday to Friday: 9:00 a.m. to 2:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
Peterborough Regional Health Centre,"159 King Street, Suite 302",Peterborough ,K9J 2R8,<onesite-phone>705-749-9708</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","Monday, Wednesday & Friday: 8:00 a.m. to 11:00 p.m.",Located inside the Peterborough Aids Resource Network office. Patients can walk in without an appointment or call to book an appointment.
Bluewater Methadone Clinic - Sarnia-Lambton ,118 Victoria Street North,Sarnia,N7T 5W9,<onesite-phone>519-337-5000</onesite-phone>,"<a href=""http://bluewatermethadoneclinic.ca/"">bluewatermethadoneclinic.ca</a>","<a href=""mailto:intakes@bluewatermethadoneclinic.ca"">intakes@bluewatermethadoneclinic.ca</a>",Monday: 9:00 a.m. to 6:00 p.m.; Tuesday & Friday: 9:00 a.m. to 5:00 p.m.; Thursday: 9:00 a.m. to 7:00 p.m.; Wednesday by appointment,
Sault Area Hospital,123 East Street,Sault Ste Marie,P6A 3C7,"<onesite-phone extension=""7200"">705-759-3434</onesite-phone>","<a href=""https://www.sah.on.ca//programs-services/mental-health-and-addictions/raam-clinic"">sah.on.ca</a>","<a href=""mailto:casel@sah.on.ca"">casel@sah.on.ca</a>","Monday, Tuesday, Thursday & Friday: 12:00 p.m. to 3:00 p.m. ","<abbr title=""not available"">N/A</abbr>"
Scarborough Health Network ,"3050 Lawrence Avenue East, ground floor,  Crockford entrance",Scarborough ,M1P 2V5,<onesite-phone>416-431-8269</onesite-phone>,"<a href=""https://www.shn.ca/mental-health/addictions-program/"">shn.ca</a>","<a href=""mailto:raam@tsh.to"">raam@tsh.to</a>","Tuesday, Thursday & Friday: 9:00 a.m. to 11:00 a.m.",Patients can walk in without an appointment or call to book an appointment.
Niagara Health System,1200 Fourth Avenue,St. Catharines,L2S 0A9,"<onesite-phone extension=""49463"">905-378-4647</onesite-phone>","<a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">niagarahealth.on.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday to Friday: 8:30 a.m. to 4:30 p.m.,"By appointment only; <a href=""https://www.niagarahealth.on.ca/site/mental-health-addictions"">book online</a>."
Health Sciences North,336 Pine Street,Sudbury,P3C 4E5,"<onesite-phone extension=""1875"">705-523-7100</onesite-phone>","<abbr title=""not available"">N/A</abbr>","<a href=""mailto:pnikodem@hsnsudbury.ca"">pnikodem@hsnsudbury.ca</a>",Monday to Friday: 9:30 a.m. to 2:30 p.m.,"<abbr title=""not available"">N/A</abbr>"
NorWest Community Health Centre ,525 Simpson Street,Thunder Bay ,P7C 3J6,<onesite-phone>807-626-8478</onesite-phone>,"<a href=""https://www.norwestchc.org/locations/thunder-bay/programs/raam-clinic"">norwestchc.org</a>","<abbr title=""not available"">N/A</abbr>",Monday & Wednesday: 2:00 p.m. to 5:00 p.m.,Rostered Clients Only
Balmoral Centre/St. Joseph's Care Group,667 Sibley Drive,Thunder Bay ,P7B 6Z8,<onesite-phone>807-626-8478</onesite-phone>,"<a href=""https://www.norwestchc.org/locations/thunder-bay/programs/raam-clinic"">norwestchc.org</a>","<abbr title=""not available"">N/A</abbr>",Tuesday & Thursday: 2:00 p.m. to 5:00 p.m.,Rostered Clients Only
South Cochrane Addiction Services,206 Fifth Avenue,Timmins,P4N 5L3,<onesite-phone>705-531-7226</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:angele.desormeau@scasinc.ca"">angele.desormeau@scasinc.ca</a>","Monday, Wednesday: 2:00 p.m. to 5:00 p.m.; Friday: 10am to 12pm/ 1pm to 5pm.",Appointments can be made via community referral sheet or self-referral by phone or walk-in
St. Joseph's Healthcare Hamilton,225 James Street South,Hamilton,L8P 3B2,"<onesite-phone extension=""35800"">905-522-1155</onesite-phone> or <onesite-phone>905-870-2760</onesite-phone>","<a href=""https://www.stjoes.ca/hospital-services/mental-health-addiction-services/rapid-access-addiction-medicine-raam-clinic"">stjoes.ca</a>","<abbr title=""not available"">N/A</abbr>","Monday, Wednesday, Thursday, Friday 8:00 a.m. to 4:00 p.m.; Tuesdays 8:00 a.m. - 8:00 p.m.; Saturday and Sunday Addiction worker is available by appointment  12:00 p.m. - 4:00 p.m. (voicemail is checked all weekend and calls are returned)",Walk-in availability - Addiction Worker available when clinic open.  Physician available for walk-ins on Wednesday during clinic hours.   
Good Shepherd Non-Profit Homes Inc. (Outreach Model),"131 John Street South, <abbr title=""Canadian Mental Health Association"">CMHA</abbr> Hamilton",Hamilton,L8N 2C3,<onesite-phone>905-526-7137</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Wednesday 9:00 a.m. to 5:00 p.m.,Outreach Nurse Practitioner program
Good Shepherd Non-Profit Homes Inc. (Outreach Model),82 Stinson Street,Hamilton,L8N 1S2,<onesite-phone>905-526-7137</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Monday 9:00 a.m. to 5:00 p.m to see clients requiring follow up.; Friday: 1:00 p.m. to 5:00 p.m.,Outreach Nurse Practitioner program
Good Shepherd Non-Profit Homes Inc. (Outreach Model),"126 Emerald Street South, Hamilton ""Barrett Centre for Crisis Services""",Hamilton,L8N 2V5,<onesite-phone>905-526-7137</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Friday 9:00 a.m. to 12:00 p.m.,Outreach Nurse Practitioner program
Good Shepherd Non-Profit Homes Inc. (Outreach Model),"595 Main Street East, Hamilton ""Men's Addiction Services Hamilton (MASH)""",Hamilton,L8M 1J4,<onesite-phone>905-526-7137</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Thursdays 9:00 a.m. to 5:00 p.m.,Outreach Nurse Practitioner program
Caledon Specialist Clinic ,"18 King Street East, Unit L9",Bolton,L7E 1E8,<onesite-phone>905-451-2123</onesite-phone> or <onesite-phone>1-877-451-2123</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:info@cmhapeel.ca"">info@cmhapeel.ca</a>",Wednesday: Walk In - 10:00 a.m. to 12:00 p.m. / Planned Appointments - 1:00 p.m - 3:00 p.m.,Patients can walk in without an appointment or call or email to book an appointment.
William G. Davis Centre,"60 West Drive, Unit 102",Bramalea,L6T 3T6,<onesite-phone>905-451-2123</onesite-phone>  or <onesite-phone>1-877-451-2123</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:info@cmhapeel.ca"">info@cmhapeel.ca</a>",Tuesday: Walk In - 10:00 a.m. to 12:00 p.m. / Planned Appointments - 1:00 p.m - 3:00 p.m.,Patients can walk in without an appointment or call or email to book an appointment.
Peel Memorial Centre for Integrated Health and Wellness,"20 Lynch Street, Level 3",Brampton,L6W 2Z8,<onesite-phone>905-451-2123</onesite-phone> or <onesite-phone>1-877-451-2123</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:info@cmhapeel.ca"">info@cmhapeel.ca</a>",Friday: Walk In - 10:00 a.m. to 12:00 p.m. / Planned Appointments - 1:00 p.m - 3:00 p.m.,Patients can walk in without an appointment or call or email to book an appointment.
Rexdale Community Hub ,15-21 Panorama Court,Etobicoke,M9V 4E3,<onesite-phone>905-451-2123</onesite-phone> or <onesite-phone>1-877-451-2123</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:info@cmhapeel.ca"">info@cmhapeel.ca</a>",Monday: Walk In - 10:00 a.m. to 12:00 p.m. / Planned Appointments - 1:00 p.m - 3:00 p.m.,Patients can walk in without an appointment or call or email to book an appointment.
"<abbr title=""Canadian Mental Health Association"">CMHA</abbr> Peel Dufferin (with Dufferin Area Family Health Team)","1 Elizabeth Street, Unit L-2",Orangeville,L9W 7N7,<onesite-phone>905-451-2123</onesite-phone>  or <onesite-phone>1-877-451-2123</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<a href=""mailto:info@cmhapeel.ca"">info@cmhapeel.ca</a>",Thursday: Walk In - 10:00 a.m. to 12:00 p.m. / Planned Appointments - 1:00 p.m - 3:00 p.m.,Patients can walk in without an appointment or call or email to book an appointment.
Humber River Hospital,"1235 Wilson Avenue, 5<sup>th</sup> Floor",Toronto,M3M 3G7,<onesite-phone>289-221-4839</onesite-phone> or <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Tuesday: 3:00 p.m. to 5:00 p.m.; Thursday: 12:30 p.m. to 2:30 p.m.,Take the East Outpatient Elevators to the 5<sup>th</sup> floor. The elevators are located in front of Portal A Entrance. The East Parkade is the closest parking lot.
Mackenzie Richmond Hill Hospital,"10 Trench Street, 3<sup>rd</sup> Floor, B Wing",Richmond Hill,L4C 4Z3,<onesite-phone>289-221-4839</onesite-phone> or <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Monday: 9:00 a.m. to 11:00 a.m.,"Go to B Wing, Level 3. Follow the green line outside the elevators to Outpatient Mental Health Department."
Markham Stouffville Hospital,"381 Church Street, Building B, Level 2, 2 West (2WF) Outpatient Mental Health Department",Markham,L6B 1A1,<onesite-phone>289-221-4839</onesite-phone> or <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Monday & Friday: 1:00 p.m. to 3:00 p.m.,"Go to Building B, Level 2, 2 West (2WF) Outpatient Mental Health Department."
North York General Hospital,"4001 Leslie Street, 8th Floor, Ambulatory Mental Health",North York,M2K 1E1,<onesite-phone>289-221-4839</onesite-phone> or <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Wednesday: 10:00 a.m. to 12:00 p.m.,Use South Entrance Doors and take the elevztors to the 8th floor to Ambulatory Mental Health
Southlake Regional Health Centre,"596 Davis Drive, 4<sup>th</sup> Floor, Room 842",Newmarket,L3Y 2P9,<onesite-phone>289-221-4839</onesite-phone> or <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Tuesday: 9:00 a.m. to 11:00 a.m.; Thursday: 1:30 p.m. to 3:30 p.m.,"Use the West Building entrance and take the West elevator to the 4<sup>th</sup> floor, Room 842."
Stevenson Memorial Hospital,"200 Fletcher Crescent, Mary McGill Community Mental Health Centre",Alliston,L9R 1M1,<onesite-phone>289-221-4839</onesite-phone> or  <onesite-phone>1-888-399-8342</onesite-phone>,"<a href=""https://www.asyr.ca/programs/rapid-access-addiction-medicine-raam/"">asyr.ca/programs/rapid-access-addiction-medicine-raam</a>","<abbr title=""not available"">N/A</abbr>",Friday: 10:00 a.m. to 12:00 p.m.,Located in the Mary McGill Community Mental Health Centre.
"Grey Bruce Health Services - <abbr title=""Rapid Access Addiction Management"">RAAM</abbr> Clinic",495 9<sup>th</sup> Avenue East,Owen Sound,N4K 3E2,<onesite-phone>519-376-3999</onesite-phone>,"<a href=""https://www.gbhs.on.ca/mental-health-addiction-services/"">gbhs.on.ca</a>","<a href=""mailto:dpurdon@gbhs.on.ca"">dpurdon@gbhs.on.ca</a>",Monday to Friday: 8:00 a.m. to 4:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
Island Medical Clinic,"1186 Richard St. Richards Landing, ON ",Richards Landing,P0R 1J0,<onesite-phone>705-246-2477</onesite-phone>,,"<abbr title=""not available"">N/A</abbr>",Tuesday: 9:00 a.m. to 12:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
Lady Dunn Health Centre,"17 Government Road, PO Box 179",Wawa,P0S 1K0,"<onesite-phone extension=""4453"">705-856-1313</onesite-phone>","<a href=""https://www.ldhc.com/"">ldhc.com</a>","<a href=""mailto:jhunter@wawafht.com"">jhunter@wawafht.com</a>",Tuesday & Thursday: 8:30 a.m. to 10:00 a.m.,"<abbr title=""not available"">N/A</abbr>"
West Parry Sound Health Centre,6 Albert Street,Parry Sound,P2A 3A4,<onesite-phone>705-375-9900</onesite-phone>,,"<a href=""mailto:klaurie@cmhamps.ca"">klaurie@cmhamps.ca</a> or <a href=""mailto:khogue@wpshc.com"">khogue@wpshc.com</a>",Monday: 2:00 p.m. to 6:00 p.m.; Thursday: 8:00 a.m. to 12:00 p.m.,"  The West Parry Sound Rapid Access Addiction Medicine (RAAM) Clinic is a low-barrier, culturally safe clinic for individuals 16 years of age and older who are struggling with substance and/or alcohol use concerns.   Although not required, referrals are helpful and appreciated. Walk-ins are welcome."
Oxford County Community Health Centre,35 Metcalf Street,Woodstock,N4S 1K2,<onesite-phone>1-877-522-1112</onesite-phone>,"<a href=""http://www.oxfordraam.ca/"">oxfordraam.ca</a>","<abbr title=""not available"">N/A</abbr>",Monday: 9:00 a.m. to 11:00 a.m.; Tuesday: 1:00 p.m. to 3:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
Women's College Hospital,"76 Grenville Street, 3<sup>rd</sup> Floor",Toronto,M5S 1B2,"<onesite-phone extension=""6"">416-323-7559</onesite-phone>","<a href=""https://www.womenscollegehospital.ca/programs-and-services/substance-use-service"">womenscollegehospital.ca</a>","<abbr title=""not available"">N/A</abbr>","Monday, Tuesday & Thursday: 10:00 a.m. to 12:00 p.m.","<abbr title=""not available"">N/A</abbr>"
Unity Health Toronto,"410 Sherbourne Street, 1<sup>st</sup> Floor",Toronto,M4X 1K2,<onesite-phone>416-864-3096</onesite-phone>,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Wednesday: 12:00 p.m. to 4:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
Unity Health Toronto,"30 The Queensway, Ground Floor",Toronto,M6R 1B5,"<onesite-phone extension=""3969"">416-530-6486</onesite-phone>","<a href=""https://stjoestoronto.ca/areas-of-care/addiction/"">stjoestoronto.ca</a>","<abbr title=""not available"">N/A</abbr>",Tuesday & Thursday: 10:00 a.m. to 11:30 a.m.,"<abbr title=""not available"">N/A</abbr>"
University Health Network ,"399 Bathurst Street, 1<sup>st</sup> Floor, West Wing (WW 1-414)",Toronto,M5T 2S8,<onesite-phone>416-726-5052</onesite-phone>,"<a href=""https://www.uhn.ca/MCC/PatientsFamilies/Clinics_Tests/Rapid_Access_Addiction_Medicine/Pages/default.aspx"">uhn.ca</a>","<a href=""mailto:raam@uhn.ca"">raam@uhn.ca</a>","Monday & Wednesday: 9:00 a.m. to 11:00 a.m.; Starting October 4, 2019 Friday: 1:00 p.m. to 3:00 p.m.","Patients can self-refer and just show up to clinic during operating hours. Although not required, Referrals for physicians are helpful and are appreciated. First download and complete the RAAM referral form."
Michael Garron Hospital ,825 Coxwell Avenue,Toronto,M4C 3E7,<onesite-phone>416-461-8272</onesite-phone>,"<a href=""https://www.tehn.ca/programs-services/mental-health-addiction/addiction-services/rapid-access-addiction-medicine-clinic"">tehn.ca</a>","<abbr title=""not available"">N/A</abbr>",Tuesday & Friday: 9:00 a.m. to 11:00 a.m.,"<abbr title=""not available"">N/A</abbr>"
Sunnybrook Health Sciences Centre,"2075 Bayview Avenue, Room A146 (A Wing)",Toronto,M4N 3M5,<onesite-phone>416-480-6736</onesite-phone>,"<a href=""https://sunnybrook.ca/content/?page=bsp-rapid-addiction-medicine"">sunnybrook.ca</a>","<abbr title=""not available"">N/A</abbr>",Wednesday: 2:00 p.m. to 4:00 p.m.; Friday: 10:00 a.m. to 12:00 p.m.,"<abbr title=""not available"">N/A</abbr>"
