Month,ED_visits_rate,ED_visits_count,Hospitalization_rate,Hospitalization_count,Deaths_rate,Deaths_count
May-10,21.1,231,11.3,124,5.5,60
Jun-10,21.9,240,11.6,127,4.8,52
Jul-10,23.9,262,12.5,137,4,44
Aug-10,23,252,12,132,3.4,37
Sep-10,23.8,261,10.8,118,4.2,46
Oct-10,21.3,234,10.8,119,3.8,42
Nov-10,20.5,225,10.8,119,3.8,42
Dec-10,21.8,240,11,121,5,55
Jan-11,19.9,219,11.5,127,4.7,52
Feb-11,19.3,212,10.1,111,4.1,45
Mar-11,21.3,235,10.9,120,4.3,47
Apr-11,22,243,13.7,151,4.2,46
May-11,21,232,11.3,125,3.7,41
Jun-11,20.7,229,12.1,134,3.8,42
Jul-11,25.3,280,15.1,167,4.9,54
Aug-11,27.5,304,13.7,152,3.3,36
Sep-11,26.9,298,10.9,121,4.4,49
Oct-11,21.5,238,12.6,140,3.8,42
Nov-11,19,211,10.5,117,4.9,54
Dec-11,21,233,12.6,140,4.3,48
Jan-12,21.4,238,12.2,136,3.7,41
Feb-12,19.7,219,12.2,136,3.3,37
Mar-12,23.6,263,12.2,136,4.3,48
Apr-12,23.5,262,11.6,129,4.8,53
May-12,24.2,270,14.7,164,4,45
Jun-12,25.6,286,14.3,160,4.1,46
Jul-12,26.4,295,14.4,161,5.5,62
Aug-12,24.4,273,14.3,160,4.4,49
Sep-12,24.4,273,14,157,3.6,40
Oct-12,23,258,14.5,162,4.6,51
Nov-12,25.4,285,14.4,162,5.2,58
Dec-12,20.7,232,10,112,4.9,55
Jan-13,19,213,11.5,129,4.1,46
Feb-13,21.3,240,11.1,125,5.2,59
Mar-13,21.2,239,12.4,140,5.2,58
Apr-13,19.1,215,13.3,150,4.7,53
May-13,25.9,292,13.9,157,5,56
Jun-13,19.6,221,9.5,107,5.1,57
Jul-13,25.8,292,13,147,5.7,64
Aug-13,24.9,282,13.1,148,5,56
Sep-13,23.9,270,13.6,154,4.3,49
Oct-13,24.3,275,12.3,139,3.8,43
Nov-13,22.6,256,12.4,141,4.6,52
Dec-13,22.6,256,11.8,134,4.1,46
Jan-14,21.8,247,11.2,127,5.7,65
Feb-14,21.9,249,11.8,134,4.1,47
Mar-14,23.7,270,12.5,142,5.1,58
Apr-14,20.6,234,11.5,131,4,45
May-14,23.9,272,13.5,154,4.7,53
Jun-14,28,319,14.2,162,5.2,59
Jul-14,26.1,298,11.7,133,4.9,56
Aug-14,29.1,332,15.2,173,6.4,73
Sep-14,23.2,265,11.9,136,5.3,61
Oct-14,26.3,300,12.7,145,4.4,50
Nov-14,26.5,303,12.9,147,4.8,55
Dec-14,22.5,258,10.7,122,4.7,54
Jan-15,22.2,254,12,137,5.1,58
Feb-15,24,275,9.7,111,4.4,50
Mar-15,23.6,271,11,126,6,69
Apr-15,27.7,318,11.4,131,6.2,71
May-15,27,310,12.7,146,4.8,55
Jun-15,25,287,14.2,163,6.4,73
Jul-15,26.9,309,14.5,167,5.3,61
Aug-15,31.5,363,13.6,157,5.3,61
Sep-15,29.1,335,14.5,167,4.3,50
Oct-15,25.5,294,14.2,164,5.7,66
Nov-15,22.2,256,12.1,140,4.7,54
Dec-15,30.8,356,11.8,137,5.2,60
Jan-16,26.8,310,11.5,133,6.2,72
Feb-16,27.5,319,11.7,136,5.6,65
Mar-16,30.8,357,12.7,147,6.6,77
Apr-16,29.4,341,13.5,157,6.9,80
May-16,30.9,359,12.4,144,5.2,61
Jun-16,31.7,369,17.3,201,6.6,77
Jul-16,32.4,377,13.2,154,5.4,63
Aug-16,32,373,13.3,155,5.9,69
Sep-16,32.6,381,13.3,156,5.4,63
Oct-16,34.3,402,13.8,162,5.8,68
Nov-16,36,422,15.9,186,8.6,101
Dec-16,35.5,417,15.1,177,6,71
Jan-17,34.4,404,13.8,162,6.1,72
Feb-17,36.2,426,12.7,150,7.1,83
Mar-17,44.3,522,14.7,173,7,83
Apr-17,52,614,16.2,191,8.2,97
May-17,50.7,600,15.6,185,8,95
Jun-17,57.3,679,14.4,170,10,119
Jul-17,67.7,803,15.4,183,11.1,132
Aug-17,81.4,967,18.5,220,11.8,140
Sep-17,75.2,894,16,190,11.9,142
Oct-17,58.1,691,16.3,194,7.7,92
Nov-17,48.9,583,14,167,9.2,110
Dec-17,48.7,581,13.4,160,8.4,100
Jan-18,44.9,536,12.2,146,8,96
Feb-18,48.1,575,13.1,157,7,84
Mar-18,61.1,732,16.3,195,10.6,127
Apr-18,58.6,703,14.3,172,8,96
May-18,64.4,773,17.6,211,9.8,118
Jun-18,69.2,832,14.6,176,9.2,111
Jul-18,69.9,841,15.7,189,9.6,116
Aug-18,73.9,890,15.1,182,11.5,138
Sep-18,67.7,817,12.1,146,11.6,140
Oct-18,64.2,775,13.2,159,11.3,137
Nov-18,68.5,828,14.7,178,13.3,161
Dec-18,70.4,852,16.3,197,12.3,149
Jan-19,66.9,811,13,157,11.1,134
Feb-19,80.1,971,15.7,190,11.3,137
Mar-19,98.1,1191,14.7,178,14.7,178
Apr-19,100.3,1219,17.7,215,14.2,173
May-19,103.4,1258,15.4,187,13,158
Jun-19,77.7,947,14.9,182,10.3,125
Jul-19,54.8,668,12.3,150,7.5,92
Aug-19,62.2,759,12.8,156,6.5,79
Sep-19,45.3,554,10.6,130,5.2,63
