"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"25-34 years"	"25-34"	Suppressed	73	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"35-44 years"	"35-44"	Suppressed	74	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"45-54 years"	"45-54"	Suppressed	64	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"55-64 years"	"55-64"	Suppressed	41	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"65-74 years"	"65-74"	Suppressed	28	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"75-84 years"	"75-84"	Suppressed	14	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			Suppressed	453	Suppressed	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"American Indian or Alaska Native"	"1002-5"					Suppressed	906	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"< 1 year"	"1"	Suppressed	22	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	74	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	72	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	75	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	84	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	84	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"25-34 years"	"25-34"	Suppressed	242	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"35-44 years"	"35-44"	Suppressed	287	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"45-54 years"	"45-54"	Suppressed	219	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"55-64 years"	"55-64"	Suppressed	154	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"65-74 years"	"65-74"	Suppressed	72	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	Suppressed	17	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"			Suppressed	1404	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"< 1 year"	"1"	Suppressed	18	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	63	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	85	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	86	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	85	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	88	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"25-34 years"	"25-34"	Suppressed	169	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"35-44 years"	"35-44"	Suppressed	187	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	Suppressed	83	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	Suppressed	65	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	Suppressed	33	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"			Suppressed	966	Suppressed	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Asian or Pacific Islander"	"A-PI"					Suppressed	2370	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	Suppressed	251	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	966	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	1181	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	1216	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	1474	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	1357	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	Suppressed	2058	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	Suppressed	2165	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	Suppressed	1549	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	Suppressed	912	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	Suppressed	629	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	Suppressed	340	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	Suppressed	152	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Female"	"F"			Suppressed	14250	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	Suppressed	262	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	929	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	1319	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	1238	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	1374	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	1097	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	Suppressed	1704	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	Suppressed	1788	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	Suppressed	1322	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	Suppressed	858	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	Suppressed	559	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	Suppressed	254	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	Suppressed	68	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"	"Male"	"M"			Suppressed	12772	Suppressed	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"Black or African American"	"2054-5"					Suppressed	27022	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	Suppressed	632	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	2545	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	3436	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	3537	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	3333	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	2781	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	Suppressed	6755	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	Suppressed	8037	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	Suppressed	6182	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	Suppressed	4552	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"65-74 years"	"65-74"	Suppressed	3671	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"75-84 years"	"75-84"	Suppressed	2512	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"85+ years"	"85+"	Suppressed	926	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Female"	"F"			Suppressed	48899	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"< 1 year"	"1"	Suppressed	672	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	2632	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	3590	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	3606	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	3305	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	2915	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"25-34 years"	"25-34"	Suppressed	6540	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"35-44 years"	"35-44"	Suppressed	7813	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"45-54 years"	"45-54"	Suppressed	5932	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"55-64 years"	"55-64"	Suppressed	4184	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"65-74 years"	"65-74"	Suppressed	3266	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	Suppressed	1618	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	Suppressed	341	Suppressed	Suppressed
	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"	"Male"	"M"			Suppressed	46414	Suppressed	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"	"White"	"2106-3"					Suppressed	95313	Suppressed	Suppressed
"Total"	"1999"	"1999"	"Kent County, DE"	"10001"							Suppressed	125611	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	42	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	41	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	53	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	59	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	48	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-34 years"	"25-34"	Suppressed	91	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"35-44 years"	"35-44"	Suppressed	104	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"45-54 years"	"45-54"	Suppressed	69	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"55-64 years"	"55-64"	Suppressed	37	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"65-74 years"	"65-74"	Suppressed	19	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"75-84 years"	"75-84"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			Suppressed	577	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"< 1 year"	"1"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	27	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	46	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	32	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	35	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	51	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"25-34 years"	"25-34"	Suppressed	107	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"35-44 years"	"35-44"	Suppressed	109	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"45-54 years"	"45-54"	Suppressed	82	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"55-64 years"	"55-64"	Suppressed	39	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"65-74 years"	"65-74"	Suppressed	15	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"75-84 years"	"75-84"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"85+ years"	"85+"	Suppressed	Suppressed	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Suppressed
"Total"	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			Suppressed	560	Suppressed	Suppressed
"Total"	"1999"	"1999"	"New Castle County, DE"	"10003"	"American Indian or Alaska Native"	"1002-5"					Suppressed	1137	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"< 1 year"	"1"	Suppressed	101	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	453	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	413	Suppressed	Suppressed
	"1999"	"1999"	"New Castle County, DE"	"10003"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	449	Suppressed	Suppressed
