Name,Address,City,Postcode
BLOOR WEST PHARMACY,2262 BLOOR STREET WEST,Toronto,M6S1N9
BLOORCOURT PHARMACY,936 BLOOR STREET W.,Toronto,M6H1L4
BLOOR-SHERBOURNE PHARMACY,608 SHERBOURNE STREET,Toronto,M4X1X6
BLUE SKY PHARMACY,1176-A ST CLAIR AVE WEST,Toronto,M6E1B4
BRIARHILL PHARMACY,63-2700 DUFFERIN STREET,Toronto,M6B4J3
BROADON PHARMACY,607 GERRARD STREET E.,Toronto,M4M1Y2
BROADVIEW MEDICAL PHARMACY,743 BROADVIEW AVE,Toronto,M4K2P6
BROCK MEDICAL PHARMACY,1637 DUNDAS STREET WEST,Toronto,M6K1V2
C C PHARMACY,1351 YONGE STREET,Toronto,M4T1X9
CABBAGETOWN PHARMACY,457 PARLIAMENT STREET,Toronto,M5A3A3
CADENCE APOTHECARY,200 SPADINA AVE,Toronto,M5T2C2
CAMH PHARMACY,1001 QUEEN ST W,Toronto,M6J1H4
CANADIAN ADDICTION TREATMENT PHARMACY,100-1111 FINCH AVENUE WEST,Toronto,M3J2E5
CANADIAN COMPOUNDING PHARMACY MEDS,2920 BLOOR ST W,Toronto,M8X1B6
CANES COMMUNITY PHARMACY,135 QUEENS PLATE DRIVE,Toronto,M9W6V1
CARE AND HEALTH PHARMACY,2928 DANFORTH AVE,Toronto,M4C1M1
CENTRAL WESTON PHARMACY,2105 WESTON RD,Toronto,M9N1X7
CHARLES PHARMACY,1204 KING ST W,Toronto,M6K1G4
CHRISTIE PHARMACY,697 ST-CLAIR AVE WEST,Toronto,M6C1B2
CITY PHARMACY,238 DANFORTH AVENUE,Toronto,M4K1N4
CLAIR GARDENS PHARMACY,1263 ST. CLAIR AVENUE W.,Toronto,M6E1B8
CLAIRHURST MEDICAL PHARMACY,109-1466 BATHURST ST,Toronto,M5R3S3
CLAIRWOOD DRUG MART,942 ST. CLAIR AVENUE W,Toronto,M6C1C8
CLOUD PHARMACY,55 DUNDAS ST E,Toronto,M5B1C6
COLLEGE CENTRE PHARMACY II,528 COLLEGE STREET,Toronto,M6G1A6
COLLEGE DRUG MART,673 COLLEGE ST,Toronto,M6G1B9
COLLEGE MEDICAL PHARMACY,101-474 COLLEGE ST.,Toronto,M6G1A4
COMMUNITY CHOICE PHARMACY BLACK CREEK,5-2202 JANE ST,Toronto,M3M1A4
COMMUNITY CHOICE PHARMASAVE,1892 DAVENPORT RD,Toronto,M6N1B7
COSMO PHARMACY,3101 BLOOR ST. WEST,Toronto,M8X2W2
COXWELL PHARMACY,688 COXWELL AVENUE,Toronto,M4C3B7
CRESCENT ST PHARMACY,2688 DANFORTH AVE,Toronto,M4C1L7
CURE PHARMACY,108-1585 MARKHAM RD,Toronto,M1B2W1
DALECLIFF MEDICAL PHARMACY,2-209 ELLESMERE RD,Toronto,M1R4E2
DALES PHARMACY,572 PARLIAMENT ST,Toronto,M4X1P8
DANFORTH CENTRAL PHARMACY,1188 DANFORTH AVENUE,Toronto,M4J1M3
DANFORTH DRUG MART,1871 DANFORTH AVE,Toronto,M4C1J3
DANFORTH MAIN PHARMACY,2575 DANFORTH AVE E,Toronto,M4C1L5
DANFORTH MEDICAL PHARMACY,1156 DANFORTH AVE,Toronto,M4J1M3
DANFORTH NEIGHBOURHOOD PHARMACY CARE,2416 DANFORTH AVE,Toronto,M4C1K9
DANNY'S DRUGSTORE INC,2284 KINGSTON ROAD,Toronto,M1N1T9
DARCY 2 PHARMACY,315 SPADINA AVE,Toronto,M5T2E9
DATU'S PHARMACY,103-2238 DUNDAS STREET WEST,Toronto,M6R3A9
DAVENPORT PHARMACY,219 DAVENPORT RD. UNIT 115,Toronto,M5R1J3
DAVISVILLE PHARMACY,4-1901 YONGE STREET,Toronto,M4S1Y6
DAWES DRUG MART,424 DAWES ROAD,Toronto,M4B2E9
DELISLE PHARMACY,1560 YONGE STREET UPPER COURT LEVEL,Toronto,M4T2S9
DELRAY PHARMACY,2812 BATHURST ST,Toronto,M6B3A6
DEMARCO PHARMACY,2394 KEELE ST,Toronto,M6M4A5
DOM'S PHARMACY,3630 VICTORIA PARK AVE.,Toronto,M2H3B2
DON RUSSELL DRUG MART,2891 LAKESHORE BLVD W,Toronto,M8V1J1
DON VALLEY PHARMACY,855 BROADVIEW AVE,Toronto,M4K2P9
DOWNSVIEW PARK PHARMACY,100-2830 KEELE STREET,Toronto,M3M3E5
DOWNTOWN DISPENSARY II,1678 DUFFERIN STREET,Toronto,M6H3M1
DRUG CENTRE DISCOUNT PHARMACY,1473 EGLINTON AVE W,Toronto,M6E2G6
DRUG STORE PHARMACY,17 LESLIE ROAD,Toronto,M4M3H9
DRUG STORE PHARMACY,650 DUPONT STREET,Toronto,M6G1Z2
DRUG STORE PHARMACY,10 LOWER JARVIS,Toronto,M5E1Z9
DRUG STORE PHARMACY,2280 DUNDAS STREET W.,Toronto,M6R1X4
DRUG STORE PHARMACY,449 CARLAW AVE,Toronto,M4K3H9
DRUGS BASICS PHARMACY,1068 DANFORTH AVENUE,Toronto,M4J1M2
DRUGSTORE PHARMACY,50 MUSGRAVE ST,Toronto,M4E3W2
DRUGSTORE PHARMACY,3671 DUNDAS ST. WEST,Toronto,M6S2T3
DRUGSTORE PHARMACY,700 LAWRENCE AVE W,Toronto,M6A3B4
DRUGSTORE PHARMACY,985 WOODBINE AVENUE,Toronto,M4V4B8
DRUGSTORE PHARMACY,222 LANSDOWNE AVE,Toronto,M6K3C6
DRUGSTORE PHARMACY,1450 LAWRENCE AVE E,Toronto,M4A2S8
DRUGSTORE PHARMACY,25 PHOTOGRAPHY DRIVE,Toronto,M6M0A1
DRUGSTORE PHARMACY,1591 WILSON AVENUE,Toronto,M3L1A5
DRUGSTORE PHARMACY,1020 ISLINGTON AVENUE,Toronto,M8Z4R3
DRUGTOWN PHARMACY,1500 ROYAL YORK ROAD,Toronto,M9P3B6
DUFFERIN CENTRAL PHARMACY,1649 DUFFERIN ST,Toronto,M6H3L9
DUFFERIN DRUG MART PHARMACY,1670 DUFFERIN ST,Toronto,M6H3M2
DUFFERIN FINCH PHARMACY,C1-2 CHAMPAGNE DRIVE,Toronto,M3J2C5
DUFFERIN MEDICAL PHARMACY,2045 DUFFERIN ST,Toronto,M6E3R4
DUKE PHARMACY,2798 DUNDAS ST. W,Toronto,M6P1Y5
DUNBLOOR MEDICAL PHARMACY,5115 DUNDAS STREET WEST,Toronto,M9A1C1
DUNDAS EUCLID PHARMACY,828 DUNDAS STREET WEST,Toronto,M6J1V3
DUNN PHARMACY,1386 QUEEN STREET WEST,Toronto,M6K1L7
EAGLE MANOR PHARMACY,1901 WESTON ROAD UNIT 19,Toronto,M9N3P5
EGLINTON BATHURST PHARMACY,856 EGLINTON AVE W,Toronto,M6C2B6
EGLINTON DISCOUNT DRUGS,1774 EGLINTON AVENUE WEST MAIN FLOOR,Toronto,M6E2H6
EGLINTON MEDICAL PHARMACY,2010 EGLINTON AVENUE WEST,Toronto,M6E2K3
FAMILY CARE PHARMACY,5-1209 KING STREET WEST,Toronto,M6K1G2
FINCH-LESLIE PHARMACY,149C RAVEL ROAD,Toronto,M2H1T1
FOREST HILL PHARMACY,102-491 EGLINTON AVE W,Toronto,M5N1A8
FRIENDLY CARE KING WEST PHARMACY,2077 WESTON ROAD,Toronto,M9N1X7
FRONT STREET PHARMACY,431 KING STREET EAST,Toronto,M5A1L5
GENIX PHARMACY,3094 DANFORTH AVENUE,Toronto,M1L1B1
GERIAT RX PHARMACY,53 THE LINKS ROAD SUITE 200,Toronto,M2P1T7
GERRARD STREET PHARMACY,247 COXWELL AVE,Toronto,M4L3B4
GET WELL PHARMACY,1278 THE QUEENSWAY,Toronto,M8Z1S3
GLEN GEORGE IDA,1118 VICTORIA PARK AVE,Toronto,M4B2K3
GLEN MANOR PHARMACY,116 GLEN MANOR DRIVE,Toronto,M4E2X2
GLENGROVE PHARMACY,2760 YONGE ST,Toronto,M4N2J2
GLENHOLME PHARMACY,896 ST. CLAIR AVE W,Toronto,M6C1C5
GOLDEN GATE PHARMACY,939 O'CONNOR DRIVE,Toronto,M4B2S7
GREEN MEDICAL PHARMACY,1705 ST CLAIR AVENUE WEST,Toronto,M6N1J2
GREEN PHARMACY,620A BLOOR STREET WEST,Toronto,M6G1K7
GREENDALE DRUGS,152 CARLTON ST.,Toronto,M5A2K1
GREENWOOD PHARMACY,1285 GERRARD ST EAST,Toronto,M4L1Y5
HABER'S COMPOUNDING PHARMACY,1584 BATHURST ST,Toronto,M5P3H3
HARBOURFRONT MEDICINE CABINET,#1-8 YORK STREET,Toronto,M5J2Y2
HEALTH CARE MART,1173 QUEEN ST W,Toronto,M6J1J4
HEALTH CHOICE PHARMACY,449 QUEEN ST W,Toronto,M5V2A9
HEALTH DRUG MART,105 PARKWAY FOREST DR,Toronto,M2J1L8
HEALTH DRUG MART,70 FOREST MANOR RD,Toronto,M2J0A9
HEALTHSHIELD PHARMACY,2-589 KING STREET EAST,Toronto,M5A1M6
HEALTHSHIELD PHARMACY,939 O'CONNOR DRIVE,Toronto,M4B2S7
HELLENIC PHARMACY,374 DANFORTH AVENUE,Toronto,M4K1N8
HERITAGE PHARMACY,1488 DANFORTH AVENUE,Toronto,M4J1N4
HIGH PARK PHARMACY,1938 BLOOR STREET W.,Toronto,M6P3K8
HILARY'S PHARMACY,811 DUNDAS STREET W.,Toronto,M6J1V4
HOMA PHARMACY,2698 JANE STREET,Toronto,M3L1S5
HOOPER'S PHARMACY,2124 QUEEN STREET EAST,Toronto,M4E1E3
HOWARD PHARMACY,25 HOWARD STREET,Toronto,M4X1J6
HUI'S PHARMASAVE,280 SPADINA AVE,Toronto,M5T3A5
HUMBER BAY PHARMACY,2240 LAKESHORE BLVD,Toronto,M8V0B1
HURST GUARDIAN PHARMACY,419 DONLANDS AVENUE,Toronto,M4J3S2
ICARE DISCOUNT PHARMACY,6-1577 DANFORTH AVE,Toronto,M4C1H7
ICARE PHARMACY SERVICES,26-2 THORNCLIFFE PARK DR.,Toronto,M4H1H2
INFINITY HEALTH PHARMACY,35 LOWER SIMCOE STREET,Toronto,M5J3A6
INTERNATIONAL PHARMACY,1218 KING STREET W.,Toronto,M6K1G4
ISLINGTON DISCOUNT PHARMACY,201-2304 ISLINGTON AVE,Toronto,M9W3W9
ISLINGTON IDA PHARMACY,2428 ISLINGTON AVE,Toronto,M9W3X8
ISLINGTON MEDICAL PHARMACY,1243 ISLINGTON AVENUE SUITE 103,Toronto,M8X1Y9
J.C. PHARMACY,1A- 3685 KEELE ST,Toronto,M3J3H6
JAMESTOWN PHARMACY,5- 225 WELLESLEY STREET EAST,Toronto,M4X1X8
JANE PARK PLAZA PHARMACY,873 JANE ST.,Toronto,M6N4C4
JANE WILSON PHARMACY,2111 JANE ST UNIT # 3,Toronto,M3M1A2
JANEDAL PHARMACY,3-965 JANE STREET,Toronto,M6N4E1
JARVIS ST. APOTHECARY,275 JARVIS ST,Toronto,M5B2P2
JIMMY'S PHARMACY,255 BROADVIEW AVE.,Toronto,M4M2G6
JOHN & JACK PHARMACY,787 LAWRENCE AVE WEST,Toronto,M6A1C2
JUNCTION PHARMACY,3016 DUNDAS ST W,Toronto,M6P1Z3
KASSEL'S PHARMACY,396 ROYAL YORK ROAD,Toronto,M8Y2R5
KEELE & ROGERS PHARMACY,D5-605 ROGERS ROAD,Toronto,M6M1B9
KINGSWAY DRUGS,114 CUMBERLAND STREET,Toronto,M5R1A6
KLH PHARMACY,4113-A LAWRENCE AVENUE E,Toronto,M1E2S2
KONOP CHEMISTS LTD,208 BLOOR ST W,Toronto,M5S3B4
L. & A. PHARMACY,1485 GERRARD ST E,Toronto,M4L2A4
L. LEONE PHARMACY,1615 DUFFERIN ST,Toronto,M6H3L9
LAKEFRONT MEDICAL PHARMACY,14-550 QUEENS QUAY WEST,Toronto,M5V3M8
LAKESIDE PHARMACY,2438 LAKESHORE BLVD WEST,Toronto,M8V1C4
LAWRENCE HEIGHTS PHAMILY PHARMACY,12 FLEMINGTON ROAD,Toronto,M6A2N4
LAWRENCE MEDICAL PHARMACY,4-1575 LAWRENCE AVE WEST,Toronto,M6L1C3
LAWRENCE PHARMACHOICE,5-2013A LAWRENCE AVE WEST,Toronto,M9N0A3
LAWRENCE-VICTORIA PK PHARMACY,1723 LAWRENCE AVE E.,Toronto,M1R2X7
LEASIDE COMMUNITY PHARMACY,795 EGLINTON AVENUE E.,Toronto,M4G4E4
LEFKO DRUGS,842 WILSON AVENUE,Toronto,M3K1E5
LESLIE GROVE PHARMACY,1176 QUEEN STREET E.,Toronto,M4M1L4
LIBERTY MARKET PHARMACY,"171 EAST LIBERTY STREET, UNIT 102 ",Toronto,M6K3P6
LIFE TRUST PHARMACY,201-125 NORFINCH DR,Toronto,M3N1W8
LILY PHARMACY,9-2721 JANE STREET,Toronto,M3L1S3
LINGEMAN PHARMACY,411 JANE ST,Toronto,M6S3Z6
LMC PHARMACY,107-1929 BAYVIEW AVENUE,Toronto,M4G3E8
LOBLAW PHARMACY,585 QUEEN STREET WEST,Toronto,M5V2B7
LOBLAW PHARMACY,60 CARLTON STREET,Toronto,M5B1L1
LOBLAW PHARMACY,5095 YONGE STREET,Toronto,M2N6Z4
LOBLAW PHARMACY,LOBLAWS DIVISION 2877 BAYVIEW AVENUE,Toronto,M2K2S3
LOBLAW PHARMACY,51 GERRY FITZGERALD DR,Toronto,M3J3N4
LOBLAW PHARMACY,LOBLAWS RCSS DIVISION 825 DON MILLS ROAD,Toronto,M3C1V4
LOBLAW PHARMACY,LOBLAWS SUPERMARKET 11 REDWAY ROAD,Toronto,M4H1P6
LOBLAW PHARMACY,LOBLAWS DIV 396 ST CLAIR AVE WEST,Toronto,M4P3N3
LOBLAW PHARMACY,2549 WESTON ROAD,Toronto,M9N2A7
LOBLAW PHARMACY,200 FRONT STREET EAST,Toronto,M5A4T9
LORD'S PHARMACY,225 WELLESLEY ST,Toronto,M4X1X8
M&D SHEPPARD PHARMACY,2-872 SHEPPARD AVE W,Toronto,M3H5V5
MAIN DRUG MART,1169 DUNDAS ST WEST,Toronto,M6J2Z9
MAIN DRUG MART,1315 FINCH AVE WEST SUITE 117,Toronto,M3J2G6
MAIN DRUG MART,1473 DANFORTH AVE.,Toronto,M4J1N5
MAIN DRUG MART,2160 WESTON ROAD,Toronto,M9N1X6
MAIN DRUG MART,25 OVERLEA BLVD #4,Toronto,M4H1P9
MAIN DRUG MART,2536 KEELE STREET,Toronto,M6L2N8
MAIN DRUG MART,3245 FINCH AVE. EAST,Toronto,M1W4C1
MAIN DRUG MART,3265 BAYVIEW AVENUE,Toronto,M2K1G4
MAIN DRUG MART,61 QUEEN ST EAST,Toronto,M5C2T2
MAIN DRUG MART,658 DANFORTH AVE UNIT 102,Toronto,M4J5B9
MAIN DRUG MART,7-1646 VICTORIA PARK AVENUE,Toronto,M1R1P7
MAIN DRUG MART,844 BATHURST ST,Toronto,M5R3G1
MAIN DRUG MART,2772 DANFORTH AVENUE,Toronto,M4C1L7
MAIN DRUG MART,410 SHERBOURNE STREET,Toronto,M4X1K2
MAIN DRUG MART,2091 DANFORTH AVENUE,Toronto,M4C1K1
MAIN DRUG MART,1-399 CHURCH ST,Toronto,M5B2J6
MAIN DRUG MART,5 THE MARKET PLACE,Toronto,M4C5M2
MAIN DRUG MART,6-943 O'CONNOR DRIVE,Toronto,M4B2S7
MAIN DRUG MART,2558 DANFORTH AVE,Toronto,M4C1L3
MAIN DRUG MART,521 VICTORIA PARK AVE,Toronto,M4C5H1
MAIN DRUG MART,1 OAK STREET UNIT 1 & 2,Toronto,M5A0A1
MAIN DRUG MART,140 THE ESPLANADE,Toronto,M5A4P5
MAIN DRUG MART,1130 BLOOR ST WEST,Toronto,M6H1M8
MAPLE LEAF MEDICAL PHARMACY,14 COLLEGE ST,Toronto,M5G1K2
MARGIS PHARMACY,408 RONCESVALLES AVE,Toronto,M6R2M9
MARKET ST. PHARMACY,149 AUGUSTA AVENUE,Toronto,M5T2L4
MARKIE PHARMACY,1235 BAY STREET,Toronto,M5R3K4
MARKLAND WOOD PHARMACY,4335 BLOOR STREET WEST,Toronto,M9C2A5
MARSHALL'S DRUG STORE,412 SUMMERHILL AVENUE,Toronto,M4W2E4
MEDCENTRAL PHARMACY,20 DREWRY AVE,Toronto,M2M1C8
MEDI CHOICE PHARMACY,842 GERRARD ST. E UNIT 2,Toronto,M4M1Y7
MEDICAL PHARMACY,340 COLLEGE STREET,Toronto,M5T3A9
MEDICARE PHARMACY,B109-3341 MARKHAM RD,Toronto,M1X0A5
MEDICINE CABINET LAKESHORE PHARMACY,2081 LAKESHORE BLVD WEST,Toronto,M8V3Z4
MEDIMOST PHARMACY INC,2883 DANFORTH AVENUE,Toronto,M4C1M3
MEDI-PLACE PHARMACY,3300 BLOOR STREET W SUITE #146,Toronto,M8X2W8
MEDI-PLACE PHARMACY,1A-622 COLLEGE STREET,Toronto,M6G1B4
MEDISYSTEM,3-75 LESMILL ROAD,Toronto,M3B2T8
MEDSEXPERT PHARMACY,461 CHURCH ST,Toronto,M4Y2C5
METRO DRUGS,320 SCARLETT RD,Toronto,M9A4S4
METRO DRUGS,129 DUNDAS ST EAST,Toronto,M5B2N6
METRO DRUGS,1290 BLOOR ST WEST,Toronto,M6H1N9
METRO MEDICAL PHARMACY,351 CHRISTIE ST.,Toronto,M6G3C2
METRO PHARMACY,3221 EGLINTON AVENUE E.,Toronto,M1J2H7
METRO PHARMACY,16 WILLIAM KITCHEN BLVD,Toronto,M1P5B7
METRO PHARMACY,3003 DANFORTH AVENUE,Toronto,M4C1M9
METRO PHARMACY,80 FRONT ST EAST,Toronto,M5E1T4
METRO PHARMACY,100 LYNN WILLIAMS ST,Toronto,M6K3N6
METRO PHARMACY,2155 ST. CLAIR AVE WEST,Toronto,M6N1K5
METROPOLITAN PHARMACY,4G SPADINA AVE,Toronto,M5V3Z9
MOBARAK GUARDIAN PHARMACY,28 OVERLEA BLVD,Toronto,M4H1B6
MORELLI'S PHARMACY,93 LAIRD DRIVE,Toronto,M4G3T7
MORELLI'S PHARMACY,15 YORK STREET,Toronto,M5J0A3
MOSS PARK PHARMACY,325 QUEEN STREET EAST,Toronto,M5A1S9
MOUNT PLEASANT PHARMACY,245 EGLINTON AVENUE E.,Toronto,M4P1L2
MP SPECIALTY PHARMACY,290 SHUTER STREET-2ND FLOOR,Toronto,M5A1W7
MURRAY SHORE PHARMACY,3537 BATHURST STREET,Toronto,M6A2C7
NATIONS PHARMACY,1980 ST CLAIR AVENUE W,Toronto,M6N0A3
NEW CALEDONIA PHARMACY,600 CALEDONIA RD,Toronto,M6E4V6
NEW CARE PHARMACY,56 WESTMORE DR,Toronto,M9V1C3
NEW DAY DANFORTH PHARMACY,1288 DANFORTH AVENUE,Toronto,M4J1M6
NEW ERA PHARMACY,2163 DANFORTH AVENUE,Toronto,M4C1K2
NEWE TOWNE MEDICAL PHARMACY,102-3420 FINCH AVE E,Toronto,M1W2R6
NHATRANG DRUG MART,790 WILSON AVE,Toronto,M3K1E2
NORTH PARK MEDICAL PHARMACY,D2-2355 KEELE STREET,Toronto,M6M4A1
NORTHCLIFFE PHARMACY,1751 EGLINTON AVE W,Toronto,M6E2H7
NORTHERN RX MEDICAL PHARMACY,201-418 EGLINTON AVE WEST,Toronto,M5N1A2
NOVA PHARMACY,1674 DUFFERIN ST,Toronto,M6H3M1
OAKWOOD PHARMACY,332 OAKWOOD AVE,Toronto,M6E2V9
OLD PARK PHARMACY,1042 EGLINTON AVE WEST,Toronto,M6C2C5
OMNI PHARMACY,799 BLOOR ST W,Toronto,M6G1L8
ON CARE PHARMACY,481 DUNDAS STREET WEST,Toronto,M5T1H1
ONE COMMUNITY PHARMACY,347 SPADINA AVE,Toronto,M5T2G3
ONE MEDICAL PHARMACY,102-20 WYNFORD DR,Toronto,M3C1J4
ONE PHARMACY,5292 YONGE STREET,Toronto,M2N5P9
OSSINGTON MEDICAL PHARMACY,836 BLOOR STREET WEST,Toronto,M6G1M2
PACE PHARMACY,14 ISABELLA ST,Toronto,M4Y1N1
PAPE DRUG MART,751 PAPE AVE,Toronto,M4K3T1
PARKDALE GUARDIAN DRUGS,1488 QUEEN ST WEST,Toronto,M6K1M4
PARKDALE PHARMACY,1439 KING ST WEST,Toronto,M6K1H9
PARKSIDE REMEDY RX,1640 BLOOR ST W,Toronto,M6P1A7
PARLIAMENT PHARMACY,402 PARLIAMENT ST,Toronto,M5A2Z7
PEOPLES CHOICE REMEDY'S RX,1145 MORNINGSIDE AV. UNIT #16,Toronto,M1B0A7
PEOPLES DRUG MART,491 LAWRENCE AVE WEST,Toronto,M5M1C7
PEOPLES DRUG MART,294 MAIN STREET,Toronto,M4C4X5
PHARMA CENTRE PHARMACY,2299 DUNDAS STREET W,Toronto,M6R1X7
PHARMA PLUS,23-55 BLOOR ST W,Toronto,M4W1A5
PHARMA PLUS,288 SHEPPARD AVE,Toronto,M2N3B1
PHARMA PLUS,325 MOORE AVE,Toronto,M4G3T6
PHARMA PLUS,3402 YONGE ST,Toronto,M4N2M9
PHARMA PLUS,C216-777 BAY ST,Toronto,M5G2C8
PHARMACARE DRUG MART,959 BROADVIEW AVENUE,Toronto,M4K2R5
PHARMACIA SEIFEIN PHARMACY,553 ST CLAIR AVE WEST,Toronto,M6C1A3
PHARMA-CITA,4810 SHEPPARD AVE EAST UNIT 224,Toronto,M1S4N6
PHARMACY BY THE GRANGE,UNIT 9 & 10 275 DUNDAS STREET W.,Toronto,M5T1G1
PHARMACY ZEN,6-4234 LAWRENCE AVE E,Toronto,M1E2S5
PHARMACY.CA,311 SHERBOURNE STREET,Toronto,M5A3Y1
PHARMADOCS,199 CHURCH ST. LOWER LEVEL,Toronto,M5B1Y7
PHARMADOCS,4972 DUNDAS STREET WEST,Toronto,M9A1B7
PHARMAKEIO GUARDIAN,5-1260 KENNEDY ROAD,Toronto,M1P2L3
PHARMASAVE,1018 PAPE AVENUE,Toronto,M4K3V9
PHARMASAVE,1021 KINGSTON ROAD,Toronto,M4E1T5
PHARMASAVE,"150 WYNFORD DRIVE, UNIT 115 ",Toronto,M3C1K6
PHIL-WAY PHARMACY,1700 EGLINTON AVE EAST UNIT A3,Toronto,M4A2X4
PHIL-WAY PHARMACY,A3-1700 EGLINTON AVE EAST,Toronto,M4A2X4
PREMIER PHARMACY & COMPOUNDING CENTRE,3323 BATHURST ST,Toronto,M6A2B7
PRESCRIPTION CARE CENTRE ST. MICHAEL'S HOSPITAL,30 BOND ST #1038 QUEEN WING,Toronto,M5B1W8
PRINCESS MARGARET HOSPITAL OUTPATIENT PHARMACY,610 UNIVERSITY AVENUE RM M633,Toronto,M5G2M9
PROCARE IDA PHARMACY,795 BROADVIEW AVE,Toronto,M4K2P8
PROCARE PHARMACY,2-3551 SHEPPARD E,Toronto,M1T3K8
PROGRESS MEDICAL PHARMACY,1-1939 KENNEDY RD,Toronto,M1P2L9
PROHEALTH PHARMACY,343 COXWELL AVE UNIT #3,Toronto,M4L3B5
PROVIDENCE PHARMACY PROVIDENCE HEALTHCARE,3276 ST. CLAIR AVE,Toronto,M1L1W1
R. K. PHARMACY,302 SPADINA AVENUE SUITE 101,Toronto,M5T2E7
RAXLEN PHARMACY,343 COLLEGE ST,Toronto,M5T1S9
REGENCY PHARMACY,101-2737 KEELE STREET,Toronto,M3M2E9
REMEDY'S RX EGLINTON BAYVIEW COMPOUNDING PHARMACY,586 EGLINTON AVE EAST SUITE 102,Toronto,M4P1P2
REMEDY'S RX GLOBAL DRUG MART,901 BAY ST,Toronto,M5S3K6
REXALL,1 FIRST CANADIAN PLACE UNIT #CN1038 ,Toronto,M5K1C8
REXALL,63 WELLESLEY ST E,Toronto,M4Y1G7
REXALL,YONGE-EGLINTON CENTRE 2300 YONGE ST,Toronto,M4P1E4
REXALL,1245 DUPONT ST,Toronto,M6H2A6
REXALL,C001-2 ST CLAIR AVE EAST,Toronto,M4T2T5
REXALL,600 UNIVERSITY AVENUE,Toronto,M5G1X5
REXALL,807 BROADVIEW AVE,Toronto,M4K2P8
REXALL,539 PARLIAMENT STREET,Toronto,M4X1P7
REXALL,1725 AVENUE RD,Toronto,M5M3Y5
REXALL,4789 YONGE STREET UNIT #2,Toronto,M2N0G3
REXALL,474 SPADINA AVE,Toronto,M5T2G8
REXALL,250 UNIVERSITY AVE,Toronto,M5H3E5
REXALL,87 AVENUE ROAD,Toronto,M5R3R9
REXALL,3306 KEELE STREET,Toronto,M3M2H7
REXALL,63 FRONT STREET EAST,Toronto,M5E1B3
REXALL,159 YONGE ST,Toronto,M5C1X7
REXALL,88 QUEENS QUAY WEST,Toronto,M5J0B8
REXALL,76 GRENVILLE STREET,Toronto,M5S1B2
REXALL,1235 WILSON AVENUE,Toronto,M3M0B2
REXALL,1093 QUEEN STREET WEST,Toronto,M6J1J1
REXALL,401 YONGE ST.,Toronto,M5B1S9
REXALL,481 BLOOR STREET W,Toronto,M5S1Y2
REXALL,285 SPADINA AVENUE,Toronto,M5T2E6
REXALL,190 SHERWAY DR,Toronto,M9C5N2
REXALL,DUNDAS ST W,Toronto,M6K1T8
REXALL,DUFFERIN ST,Toronto,M6E3X7
REXALL,249 MARLEE AVENUE UNIT B,Toronto,M6B4B8
REXALL,3701 LAKESHORE BLVD W,Toronto,M8W1P8
REXALL,393 SPADINA RD,Toronto,M5P2W1
REXALL,440 BROWNS LINE,Toronto,M8W3T9
REXALL,595 BAY ST BOX 125,Toronto,M5G2C2
REXALL,901 EGLINTON AVE W,Toronto,M6C2C1
REXALL,3607 SHEPPARD AVE E,Toronto,M1T3K8
